cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
10124-48-8,MERCURY AMMONIUM CHLORIDE,"Metals, Less Reactive",3032553,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",MISMATCH
10294-26-5,SILVER SULFATE,"Metals, Less Reactive",159865,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",MISMATCH
1191-80-6,MERCURY OLEATE,"Metals, Less Reactive",6433251,"Hydrocarbons, Aliphatic Unsaturated;Metals, Less Reactive agents;Oxidizing Agents, Weak;Salts, Basic",MISMATCH
1304-82-1,BISMUTH TELLURIDE,"Metals, Less Reactive",,,ERROR
10099-74-8,LEAD NITRATE,"Nitrate and Nitrite Compounds, Inorganic",24924,"Nitrate and Nitrite Compounds, Inorganic",MATCH
7761-88-8,SILVER NITRATE,"Nitrate and Nitrite Compounds, Inorganic",24470,"Nitrate and Nitrite Compounds, Inorganic",MATCH
12057-74-8,MAGNESIUM PHOSPHIDE,"Nitrides, Phosphides, Carbides, and Silicides",61546,"Nitrides, Phosphides, Carbides, and Silicides",MATCH
104-85-8,P-TOLUNITRILE,Nitriles,7724,Nitriles,MATCH
105-56-6,ETHYL CYANOACETATE,Nitriles,7764,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles",MATCH
100-02-7,4-NITROPHENOL,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",980,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",MATCH
10361-37-2,BARIUM CHLORIDE,Non-Redox-Active Inorganic Compounds,25204,Non-Redox-Active Inorganic Compounds,MATCH
7447-40-7,POTASSIUM CHLORIDE,Non-Redox-Active Inorganic Compounds,4873,Non-Redox-Active Inorganic Compounds,MATCH
1002-89-7,AMMONIUM STEARATE,Non-Redox-Active Inorganic Compounds,9861187,Non-Redox-Active Inorganic Compounds,MATCH
10025-73-7,CHROMIC CHLORIDE,Non-Redox-Active Inorganic Compounds,24808,Non-Redox-Active Inorganic Compounds,MATCH
10101-63-0,LEAD IODIDE,Non-Redox-Active Inorganic Compounds,,,ERROR
10102-50-8,FERROUS ARSENATE,Non-Redox-Active Inorganic Compounds,24938,Non-Redox-Active Inorganic Compounds,MATCH
13007-92-6,크롬 카보닐(CHROMIUM CARBONYL),Organometallics,25589,Organometallics,MATCH
1271-28-9,니켈로센,Organometallics,62390,Organometallics,MATCH
7722-64-7,POTASSIUM PERMANGANATE,"Oxidizing Agents, Strong",516875,"Oxidizing Agents, Strong",MATCH
7722-84-1,HYDROGEN PEROXIDE,"Oxidizing Agents, Strong",784,"Oxidizing Agents, Strong;Water and Aqueous Solutions",MATCH
10034-81-8,MAGNESIUM PERCHLORATE,"Oxidizing Agents, Strong",24840,"Oxidizing Agents, Strong",MATCH
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,"Oxidizing Agents, Strong",22146515,"Oxidizing Agents, Strong;Salts, Basic",MATCH
10101-50-5,SODIUM PERMANGANATE,"Oxidizing Agents, Strong",23673458,"Oxidizing Agents, Strong",MATCH
10118-76-0,CALCIUM PERMANGANATE,"Oxidizing Agents, Strong",24959,"Oxidizing Agents, Strong",MATCH
7553-56-2,IODINE,"Oxidizing Agents, Weak",807,"Oxidizing Agents, Weak",MATCH
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,"Oxidizing Agents, Weak",61460,"Oxidizing Agents, Weak;Salts, Basic",MATCH
10102-49-5,FERRIC ARSENATE,"Oxidizing Agents, Weak",61477,"Oxidizing Agents, Weak;Salts, Basic",MATCH
132259-10-0,"압축된 공기, 호흡하는 공기(COMPRESSED AIR, BREATHING AIR)","Oxidizing Agents, Weak",195130,"Oxidizing Agents, Strong;Oxidizing Agents, Weak",MATCH
1303-28-2,ARSENIC PENTOXIDE,"Oxidizing Agents, Weak",14771,"Acids, Weak;Anhydrides;Oxidizing Agents, Weak",MATCH
1312-03-4,"MERCURIC SUBSULFATE, [SOLID]","Oxidizing Agents, Weak",14799,"Metals, Less Reactive agents;Oxidizing Agents, Weak;Salts, Basic",MATCH
100-64-1,CYCLOHEXANONE OXIME,Oximes,7517,Oximes,MATCH
105-64-6,DIISOPROPYL PEROXYDICARBONATE,"Peroxides, Organic",7769,"Peroxides, Organic",MATCH
105-74-8,LAUROYL PEROXIDE,"Peroxides, Organic",7773,"Peroxides, Organic",MATCH
131-52-2,SODIUM PENTACHLOROPHENATE,Phenolic Salts,23663539,Aryl Halides;Phenolic Salts,MATCH
101-18-8,3-HYDROXY-N-PHENYLANILINE,Phenols and Cresols,7546,"Amines, Phosphines, and Pyridines;Phenols and Cresols",MATCH
10169-02-5,C.I. ACID RED 97,Phenols and Cresols,25026,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
105-60-2,CAPROLACTAM,Polymerizable Compounds,7768,Amides and Imides;Polymerizable Compounds,MATCH
106-87-6,1-VINYL-3-CYCLOHEXENE DIOXIDE,Polymerizable Compounds,7833,Epoxides;Polymerizable Compounds,MATCH
